date,ticker,entry_price,exit_price,amount
1969-09-09,CORN FUTURE       Jul23,"Dates
1969-08-29    101.574958
Name: CORN FUTURE       Jul23, dtype: float64",100.24777371636036,-0.0
1969-09-09,LIVE CATTLE FUTR  Aug23,"Dates
1969-08-29    127.214554
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",126.32079961922913,-0.0
1969-09-09,SUGAR #11 (WORLD) Jul23,92.05930936836316,,-193558.92473201104
1969-09-09,COTTON NO.2 FUTR  Jul23,81.24847200717134,,0.0
1969-09-09,SOYBEAN FUTURE    Jul23,102.91435723225456,,-0.0
1969-09-09,COCOA FUTURE      Jul23,84.43045220377786,,-0.0
1969-09-09,CORN FUTURE       Jul23,100.24777371636036,,-0.0
1969-09-09,LIVE CATTLE FUTR  Aug23,126.32079961922913,,0.0
1969-11-11,SUGAR #11 (WORLD) Jul23,"Dates
1969-09-09    92.059309
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",112.80578934948484,-193558.92473201104
1969-11-11,COTTON NO.2 FUTR  Jul23,"Dates
1969-09-09    81.248472
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",82.62570287670108,0.0
1969-11-11,SOYBEAN FUTURE    Jul23,"Dates
1969-09-09    102.914357
Name: SOYBEAN FUTURE    Jul23, dtype: float64",105.29232969783659,-0.0
1969-11-11,COCOA FUTURE      Jul23,"Dates
1969-09-09    84.430452
Name: COCOA FUTURE      Jul23, dtype: float64",94.76244991413853,-0.0
1969-11-11,CORN FUTURE       Jul23,"Dates
1969-09-09    100.247774
Name: CORN FUTURE       Jul23, dtype: float64",102.30601280573062,-0.0
1969-11-11,LIVE CATTLE FUTR  Aug23,"Dates
1969-09-09    126.3208
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",130.37178063356095,0.0
1969-11-11,CORN FUTURE       Jul23,102.30601280573062,,-8365.332551827303
1969-11-11,SUGAR #11 (WORLD) Jul23,112.80578934948484,,-0.0
1969-11-11,COTTON NO.2 FUTR  Jul23,82.62570287670108,,0.0
1969-11-11,SOYBEAN FUTURE    Jul23,105.29232969783659,,0.0
1969-11-11,COCOA FUTURE      Jul23,94.76244991413853,,0.0
1969-11-11,LIVE CATTLE FUTR  Aug23,130.37178063356095,,-0.0
1969-11-12,CORN FUTURE       Jul23,"Dates
1969-11-11    102.306013
Name: CORN FUTURE       Jul23, dtype: float64",102.0925839609449,-8365.332551827303
1969-11-12,SUGAR #11 (WORLD) Jul23,"Dates
1969-11-11    112.805789
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",114.09580744120198,-0.0
1969-11-12,COTTON NO.2 FUTR  Jul23,"Dates
1969-11-11    82.625703
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",83.29394507375103,0.0
1969-11-12,SOYBEAN FUTURE    Jul23,"Dates
1969-11-11    105.29233
Name: SOYBEAN FUTURE    Jul23, dtype: float64",105.39960665117111,0.0
1969-11-12,COCOA FUTURE      Jul23,"Dates
1969-11-11    94.76245
Name: COCOA FUTURE      Jul23, dtype: float64",92.7017744705209,0.0
1969-11-12,LIVE CATTLE FUTR  Aug23,"Dates
1969-11-11    130.371781
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",129.80591252842584,-0.0
1969-11-12,CORN FUTURE       Jul23,102.0925839609449,,-3183.1507375017704
1969-11-12,SUGAR #11 (WORLD) Jul23,114.09580744120198,,-0.0
1969-11-12,COTTON NO.2 FUTR  Jul23,83.29394507375103,,0.0
1969-11-12,SOYBEAN FUTURE    Jul23,105.39960665117111,,0.0
1969-11-12,COCOA FUTURE      Jul23,92.7017744705209,,0.0
1969-11-12,LIVE CATTLE FUTR  Aug23,129.80591252842584,,-0.0
1969-12-26,CORN FUTURE       Jul23,"Dates
1969-11-12    102.092584
Name: CORN FUTURE       Jul23, dtype: float64",101.33944999141374,-3183.1507375017704
1969-12-26,SUGAR #11 (WORLD) Jul23,"Dates
1969-11-12    114.095807
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",97.65594273578229,-0.0
1969-12-26,COTTON NO.2 FUTR  Jul23,"Dates
1969-11-12    83.293945
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",79.81419607203965,0.0
1969-12-26,SOYBEAN FUTURE    Jul23,"Dates
1969-11-12    105.399607
Name: SOYBEAN FUTURE    Jul23, dtype: float64",103.91560879671013,0.0
1969-12-26,COCOA FUTURE      Jul23,"Dates
1969-11-12    92.701774
Name: COCOA FUTURE      Jul23, dtype: float64",85.28906697195193,0.0
1969-12-26,LIVE CATTLE FUTR  Aug23,"Dates
1969-11-12    129.805913
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",131.35015072187866,-0.0
1969-12-26,SUGAR #11 (WORLD) Jul23,97.65594273578229,,-514378.8754781579
1969-12-26,CORN FUTURE       Jul23,101.33944999141374,,-0.0
1969-12-26,COTTON NO.2 FUTR  Jul23,79.81419607203965,,0.0
1969-12-26,SOYBEAN FUTURE    Jul23,103.91560879671013,,0.0
1969-12-26,COCOA FUTURE      Jul23,85.28906697195193,,0.0
1969-12-26,LIVE CATTLE FUTR  Aug23,131.35015072187866,,-0.0
1970-01-01,SUGAR #11 (WORLD) Jul23,"Dates
1969-12-26    97.655943
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",92.82230787382994,-514378.8754781579
1970-01-01,CORN FUTURE       Jul23,"Dates
1969-12-26    101.33945
Name: CORN FUTURE       Jul23, dtype: float64",101.33944999141373,-0.0
1970-01-01,COTTON NO.2 FUTR  Jul23,"Dates
1969-12-26    79.814196
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",78.41251731725194,0.0
1970-01-01,SOYBEAN FUTURE    Jul23,"Dates
1969-12-26    103.915609
Name: SOYBEAN FUTURE    Jul23, dtype: float64",103.86197032004286,0.0
1970-01-01,COCOA FUTURE      Jul23,"Dates
1969-12-26    85.289067
Name: COCOA FUTURE      Jul23, dtype: float64",82.45563823697768,0.0
1970-01-01,LIVE CATTLE FUTR  Aug23,"Dates
1969-12-26    131.350151
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",128.4996562483475,-0.0
1970-01-01,CORN FUTURE       Jul23,101.33944999141373,,-51911.96159445282
1970-01-01,SUGAR #11 (WORLD) Jul23,92.82230787382994,,-0.0
1970-01-01,COTTON NO.2 FUTR  Jul23,78.41251731725194,,0.0
1970-01-01,SOYBEAN FUTURE    Jul23,103.86197032004286,,-0.0
1970-01-01,COCOA FUTURE      Jul23,82.45563823697768,,0.0
1970-01-01,LIVE CATTLE FUTR  Aug23,128.4996562483475,,-0.0
1970-01-08,CORN FUTURE       Jul23,"Dates
1970-01-01    101.33945
Name: CORN FUTURE       Jul23, dtype: float64",101.85707627014686,-51911.96159445282
1970-01-08,SUGAR #11 (WORLD) Jul23,"Dates
1970-01-01    92.822308
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",104.10210021238103,-0.0
1970-01-08,COTTON NO.2 FUTR  Jul23,"Dates
1970-01-01    78.412517
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",77.49979626762273,0.0
1970-01-08,SOYBEAN FUTURE    Jul23,"Dates
1970-01-01    103.86197
Name: SOYBEAN FUTURE    Jul23, dtype: float64",105.13141426783471,-0.0
1970-01-08,COCOA FUTURE      Jul23,"Dates
1970-01-01    82.455638
Name: COCOA FUTURE      Jul23, dtype: float64",80.13737836290785,0.0
1970-01-08,LIVE CATTLE FUTR  Aug23,"Dates
1970-01-01    128.499656
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",130.14437569411407,-0.0
1970-01-08,LIVE CATTLE FUTR  Aug23,130.14437569411407,,-32766.66599141993
1970-01-08,CORN FUTURE       Jul23,101.85707627014686,,-0.0
1970-01-08,SUGAR #11 (WORLD) Jul23,104.10210021238103,,-0.0
1970-01-08,COTTON NO.2 FUTR  Jul23,77.49979626762273,,0.0
1970-01-08,SOYBEAN FUTURE    Jul23,105.13141426783471,,-0.0
1970-01-08,COCOA FUTURE      Jul23,80.13737836290785,,0.0
1970-03-26,LIVE CATTLE FUTR  Aug23,"Dates
1970-01-08    130.144376
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",141.9429901105296,-32766.66599141993
1970-03-26,CORN FUTURE       Jul23,"Dates
1970-01-08    101.857076
Name: CORN FUTURE       Jul23, dtype: float64",104.90395701984633,-0.0
1970-03-26,SUGAR #11 (WORLD) Jul23,"Dates
1970-01-08    104.1021
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",105.80901439471404,-0.0
1970-03-26,COTTON NO.2 FUTR  Jul23,"Dates
1970-01-08    77.499796
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",74.24007823323272,0.0
1970-03-26,SOYBEAN FUTURE    Jul23,"Dates
1970-01-08    105.131414
Name: SOYBEAN FUTURE    Jul23, dtype: float64",105.34596817450377,-0.0
1970-03-26,COCOA FUTURE      Jul23,"Dates
1970-01-08    80.137378
Name: COCOA FUTURE      Jul23, dtype: float64",63.73783629078421,0.0
1970-03-26,COTTON NO.2 FUTR  Jul23,74.24007823323272,,514788.5475310037
1970-03-26,LIVE CATTLE FUTR  Aug23,141.9429901105296,,0.0
1970-03-26,CORN FUTURE       Jul23,104.90395701984633,,-0.0
1970-03-26,SUGAR #11 (WORLD) Jul23,105.80901439471404,,-0.0
1970-03-26,SOYBEAN FUTURE    Jul23,105.34596817450377,,-0.0
1970-03-26,COCOA FUTURE      Jul23,63.73783629078421,,-0.0
1970-05-22,COTTON NO.2 FUTR  Jul23,"Dates
1970-03-26    74.240078
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",70.51585037894213,514788.5475310037
1970-05-22,LIVE CATTLE FUTR  Aug23,"Dates
1970-03-26    141.94299
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",139.10307261092612,0.0
